word,sentiment_eng
aflicción,negative
aflicción,sadness
aflicción,disgust
aflicción,fear
aflicción,negative
aflicción,sadness
afligida,negative
afligida,fear
afligida,negative
afligida,sadness
afligido,negative
afligido,fear
afligido,negative
afligido,sadness
afligir,fear
afligir,negative
afligir,sadness
afligir,negative
afligir,sadness
afligirse,fear
afligirse,negative
afligirse,sadness
afluencia,joy
afluencia,positive
afluente,positive
afluente,anticipation
afluente,positive
aforo,trust
afortunada,positive
afortunado,positive
afrenta,anger
afrenta,disgust
afrenta,fear
afrenta,negative
afrenta,sadness
afrenta,surprise
aga,fear
aga,positive
aga,trust
agacharse,fear
agarrar,anger
agarrar,negative
agazapada,fear
agazapada,negative
agazapado,fear
agazapado,negative
agente de mudanzas,positive
ágil,positive
ágil,positive
agilidad,positive
agitación,anger
agitación,negative
agitada,anger
agitada,negative
agitado,anger
agitado,negative
agonía,anger
agonía,fear
agonía,negative
agonía,sadness
agonizante,fear
agonizante,negative
agosto,positive
agotada,negative
agotada,sadness
agotado,negative
agotado,sadness
agotador,anger
agotador,fear
agotador,negative
agotador,sadness
agotamiento,anticipation
agotamiento,negative
agotamiento,sadness
agraciada,positive
agraciado,positive
agradable,positive
agradable,trust
agradable,positive
agradable,anticipation
agradable,joy
agradable,positive
agradable,surprise
agradable,trust
agradable,joy
agradable,positive
agradecida,negative
agradecida,positive
agradecida,joy
agradecida,positive
agradecido,negative
agradecido,positive
agradecido,joy
agradecido,positive
agravación,anger
agravación,disgust
agravación,negative
agravada,anger
agravada,negative
agravado,anger
agravado,negative
agravante,anger
agravante,negative
agravante,sadness
agravio,negative
agresión,anger
agresión,fear
agresión,negative
agresivo,anger
agresivo,fear
agresivo,negative
agresor,anger
agresor,fear
agresor,negative
agresor,anger
agresor,fear
agresor,negative
agresor,sadness
agresor,anger
agresor,disgust
agresor,fear
agresor,negative
agresor,sadness
agresor,surprise
agricultura,positive
agricultura,positive
agricultura,trust
agrietada,anger
agrietada,fear
agrietada,negative
agrietado,anger
agrietado,fear
agrietado,negative
agrietamiento,negative
agrio,disgust
agrio,negative
agua sucia,disgust
agua sucia,negative
aguanieve,negative
aguante,positive
aguante,trust
aguas residuales,disgust
aguas residuales,negative
agudeza,positive
agudísimo,fear
agudísimo,negative
águila,trust
aguja,positive
agujereada,negative
agujereado,negative
ahogar,fear
ahogar,negative
ahogar,sadness
ahogar,anger
ahogar,negative
ahogo,anger
ahogo,negative
ahogo,sadness
ahorro,disgust
ahorro,positive
ahorro,trust
ahorros,positive
airada,anger
airada,negative
airado,anger
airado,negative
aires,disgust
aires,negative
aislada,fear
aislada,negative
aislada,sadness
aislada,negative
aislada,sadness
aislada,negative
aislado,fear
aislado,negative
aislado,sadness
aislado,negative
aislado,sadness
aislado,negative
aislamiento,trust
aislamiento,negative
aislamiento,sadness
aislar,sadness
al azar,surprise
alabada,joy
alabada,positive
alabado,joy
alabado,positive
alabanza,joy
alabanza,positive
alabanza,trust
alabastro,positive
alarde,negative
alarde,positive
alarma,fear
alarma,negative
alarma,surprise
alarmante,fear
alarmante,negative
alarmante,surprise
alarmante,surprise
alba,trust
albacea,trust
alborada,anticipation
alboroto,anger
alboroto,fear
alboroto,negative
alboroto,anger
alboroto,fear
alboroto,negative
alcalde,positive
alcantarilla,disgust
alcantarillada,disgust
alcantarillada,negative
alcantarillado,disgust
alcantarillado,negative
alcanzable,anticipation
alcanzable,positive
alcoholismo,anger
alcoholismo,disgust
alcoholismo,fear
alcoholismo,negative
alcoholismo,sadness
aldeano,positive
aldeano,trust
alegación,anger
alegación,negative
alegar,negative
alegrarse,anticipation
alegrarse,joy
alegrarse,positive
alegrarse,surprise
alegrarse,trust
alegre,joy
alegre,positive
alegre,surprise
alegre,anticipation
alegre,joy
alegre,positive
alegre,anticipation
alegre,joy
alegre,positive
alegre,joy
alegre,positive
alegre,trust
alegre,joy
alegre,positive
alegre,joy
alegre,positive
alegría,anticipation
alegría,joy
alegría,positive
alegría,trust
alegría,joy
alegría,positive
alegría,joy
alegría,positive
alegría,joy
alegría,positive
alegría,joy
alegría,positive
alegría,surprise
alegría,joy
alegría,positive
alegría,anticipation
alegría,joy
alegría,positive
alegría,surprise
alegro,positive
alejada,anger
alejada,fear
alejada,negative
alejada,sadness
alejado,anger
alejado,fear
alejado,negative
alejado,sadness
alerón,negative
alerón,sadness
alertas,anticipation
alertas,fear
alertas,surprise
algarabía,anger
algarabía,negative
alguacil,fear
alguacil,negative
alguacil,trust
alguacil,trust
alguacil,trust
aliada,positive
aliada,trust
aliada,positive
aliada,trust
aliado,positive
aliado,trust
aliado,positive
aliado,trust
alianza,trust
alienación,anger
alienación,disgust
alienación,fear
alienación,negative
alienación,sadness
alienada,negative
alienada,sadness
alienado,negative
alienado,sadness
alimañas,anger
alimañas,disgust
alimañas,fear
alimañas,negative
alimentación,positive
alimento,positive
aliviar,positive
aliviar,positive
alivio,positive
alivio,positive
alma,positive
alma gemela,fear
alma gemela,negative
almacenar,anticipation
almacenar,positive
almirante,positive
almirante,trust
almohada,positive
almohadilla,positive
aloha,anticipation
aloha,joy
aloha,positive
alojamiento,positive
alojamiento,trust
alquiler,anticipation
alquiler,joy
alquiler,positive
alquiler,trust
alquitranada,negative
alquitranado,negative
alta burguesía,positive
alta burguesía,trust
altercada,anger
altercada,negative
altercado,anger
altercado,negative
altruista,positive
alucinación,fear
alucinación,negative
amabilidad,joy
amabilidad,positive
amabilidad,trust
amabilidad,positive
amable,positive
amable,negative
amable,joy
amable,positive
amable,trust
amanecer,anticipation
amanecer,joy
amanecer,positive
amanecer,surprise
amanecer,trust
amanerada,positive
amanerado,positive
amante,anticipation
amante,joy
amante,positive
amante,trust
amante,anger
amante,disgust
amante,negative
amargamente,anger
amargamente,disgust
amargamente,negative
amargamente,sadness
amargura,anger
amargura,disgust
amargura,negative
amargura,sadness
amarillos,negative
amarras,trust
ambición,anticipation
ambición,joy
ambición,positive
ambición,trust
ambicioso,anticipation
ambicioso,joy
ambicioso,positive
ambicioso,trust
ambiguo,negative
ambulancia,fear
ambulancia,trust
amén,joy
amén,positive
amén,trust
amenaza,anger
amenaza,fear
amenaza,negative
amenaza,anger
amenaza,fear
amenaza,negative
amenazador,anger
amenazador,fear
amenazador,negative
amenazante,anger
amenazante,fear
amenazante,negative
amenazante,anger
amenazante,disgust
amenazante,fear
amenazante,negative
amenazar,anger
amenazar,anticipation
amenazar,fear
amenazar,negative
amenidad,positive
amigo,joy
amigo,positive
amigo,trust
amistad,joy
amistad,positive
amistad,trust
amistoso,joy
amistoso,positive
amnesia,negative
amnistía,joy
amnistía,positive
amonestación,fear
amonestación,negative
amoníaco,disgust
amor,joy
amor,positive
amoroso,joy
amoroso,positive
amoroso,trust
amortiguar,positive
amortización,trust
ampliar,positive
ampolla,disgust
ampolla,negative
anaconda,disgust
anaconda,fear
anaconda,negative
anal,negative
analfabeto,disgust
analfabeto,negative
analista,anticipation
analista,positive
analista,trust
anarquía,anger
anarquía,fear
anarquía,negative
anarquismo,anger
anarquismo,fear
anarquismo,negative
anarquista,anger
anarquista,fear
anarquista,negative
anatema,anger
anatema,disgust
anatema,fear
anatema,negative
anatema,sadness
ancestral,trust
ancianos,positive
ancianos,trust
ancla,positive
anclaje,positive
anclaje,sadness
andamio,fear
andamio,negative
andante,negative
anexo,disgust
anexo,negative
anfetaminas,disgust
anfetaminas,negative
ángel,anticipation
ángel,joy
ángel,positive
ángel,surprise
ángel,trust
angelical,joy
angelical,positive
angelical,trust
angina,fear
angina,negative
anguila,fear
angustia,anger
angustia,fear
angustia,negative
angustia,sadness
angustia,anger
angustia,disgust
angustia,fear
angustia,negative
angustia,sadness
angustia,surprise
angustia,negative
angustia,sadness
angustia,negative
angustia,surprise
angustioso,anger
angustioso,fear
angustioso,negative
anhelo,anticipation
anhelo,anticipation
anhelo,joy
anhelo,negative
anhelo,positive
anhelo,trust
animada,joy
animada,positive
animado,joy
animado,positive
animar,positive
animar,anticipation
animar,joy
animar,positive
animar,surprise
animar,trust
animar,joy
animar,positive
animar,trust
animar,joy
animar,positive
animar,surprise
animar,trust
ánimo,anger
ánimo,negative
ánimo,positive
ánimo,anticipation
ánimo,joy
ánimo,positive
ánimo,trust
animosidad,anger
animosidad,disgust
animosidad,fear
animosidad,negative
animosidad,sadness
aniquilación,anger
aniquilación,fear
aniquilación,negative
aniquilación,sadness
aniquilada,anger
aniquilada,fear
aniquilada,negative
aniquilada,sadness
aniquilado,anger
aniquilado,fear
aniquilado,negative
aniquilado,sadness
aniquilar,anger
aniquilar,fear
aniquilar,negative
aniversario,joy
aniversario,positive
aniversario,surprise
anomalía,fear
anomalía,negative
anomalía,surprise
anónimo,negative
anónimo,negative
anormal,disgust
anormal,negative
ansia,anticipation
ansiedad,anger
ansiedad,anticipation
ansiedad,fear
ansiedad,negative
ansiedad,sadness
ansioso,anticipation
ansioso,fear
ansioso,negative
entusiasmado,anticipation
entusiasmado,joy
entusiasmado,positive
entusiasmado,surprise
ansioso,trust
ansiosa,anticipation
ansiosa,fear
ansiosa,negative
entusiasmada,anticipation
entusiasmada,joy
entusiasmada,positive
entusiasmada,surprise
entusiasmada,trust
antagonismo,anger
antagonismo,negative
antagonista,anger
antagonista,negative
antagonista,anger
antagonista,disgust
antagonista,negative
antebrazo,anger
antebrazo,anticipation
antecristo,anger
antecristo,disgust
antecristo,fear
antecristo,negative
antepasados,joy
antepasados,positive
antepasados,trust
anteriormente mencionada,positive
anteriormente mencionado,positive
antibióticos,positive
anticipación,anticipation
anticipada,anticipation
anticipado,anticipation
anticuada,negative
anticuado,negative
antídoto,anticipation
antídoto,positive
antídoto,trust
antieconómico,anger
antieconómico,disgust
antieconómico,negative
antieconómico,sadness
antigüedad,positive
antigüedad,trust
antiguo,negative
antiguo,positive
antimicótico,positive
antimicótico,trust
antinatural,disgust
antinatural,fear
antinatural,negative
antipatía,anger
antipatía,disgust
antipatía,negative
antiséptico,positive
antiséptico,trust
antisocial,anger
antisocial,disgust
antisocial,fear
antisocial,negative
antisocial,sadness
antítesis,anger
antítesis,negative
ántrax,disgust
ántrax,fear
ántrax,negative
ántrax,sadness
anudada,negative
anudado,negative
anulación,negative
anulación,sadness
anular,negative
anular,negative
anular,surprise
anular,negative
anular,fear
anular,negative
anular una hipoteca,fear
anular una hipoteca,negative
anular una hipoteca,sadness
anuncio,anticipation
apache,fear
apache,negative
apagador,negative
aparentemente,negative
aparición,fear
aparición,surprise
apasionada,anticipation
apasionada,joy
apasionada,positive
apasionada,trust
apasionado,anticipation
apasionado,joy
apasionado,positive
apasionado,trust
apatía,negative
apatía,sadness
apático,negative
apático,sadness
apático,negative
apático,sadness
apelación,anticipation
apendicitis,fear
apendicitis,negative
apendicitis,sadness
aplastada,anger
aplastada,disgust
aplastada,fear
aplastada,negative
aplastada,sadness
aplastante,anger
aplastante,disgust
aplastante,fear
aplastante,negative
aplastar,anger
aplastar,fear
aplastar,negative
aplastar,anger
aplastar,disgust
aplastar,negative
aplaudir,anticipation
aplaudir,joy
aplaudir,positive
aplaudir,trust
aplausos,joy
aplausos,positive
aplausos,surprise
aplausos,trust
aplausos,joy
aplausos,positive
aplazamiento,negative
aplazamiento,negative
aplazamiento,surprise
aplazar,negative
aplicación,negative
aplomo,positive
apoderada,trust
apoderado,trust
apogeo,anticipation
apogeo,joy
apogeo,positive
apogeo,trust
apologético,positive
apologético,trust
apóstol,positive
apóstol,trust
apostólico,trust
apreciación,joy
apreciación,positive
apreciación,trust
apreciar,anticipation
apreciar,joy
apreciar,positive
apreciar,surprise
apreciar,trust
aprehender,fear
aprender,positive
aprendiz,trust
aprendizaje,positive
aprensivo,anticipation
aprensivo,fear
aprensivo,negative
apresador,fear
apresador,negative
apresurada,negative
apresurada,anticipation
apresurada,negative
apresurado,negative
apresurado,anticipation
apresurado,negative
apretar,anger
aprobación,positive
aprobación,trust
aprobación,positive
aprobar,joy
aprobar,positive
aprobar,trust
aprobatorio,positive
apropiación,negative
apropiada,positive
apropiado,positive
aprovechar,fear
aprovechar,negative
aptitud,positive
apto,positive
apuesto,positive
apuntalar,positive
arancel,anger
arancel,disgust
arancel,negative
araña,disgust
araña,fear
arbitraje,anticipation
árbitro,trust
árbitro,trust
árbitro,trust
árbitro,positive
árbitro,trust
árbol,anger
árbol,anticipation
árbol,disgust
árbol,joy
árbol,positive
árbol,surprise
árbol,trust
árbol genealógico,positive
árbol genealógico,trust
arcaico,negative
archivada,negative
archivado,negative
ardid,negative
ardiente,anticipation
ardiente,joy
ardiente,positive
ardor,positive
arduo,negative
arena,positive
arena,trust
argumentación,anger
argumento,anger
argumento,negative
argumentos,anger
árida,negative
árida,sadness
árido,negative
árido,sadness
aristocracia,positive
aristocrático,positive
armada,anger
armada,fear
armada,negative
armada,positive
armado,anger
armado,fear
armado,negative
armado,positive
armadura,fear
armadura,positive
armadura,trust
armamento,anger
armamento,fear
armamento,fear
armamento,negative
armas de fuego,anger
armas de fuego,fear
armas de fuego,negative
armonía,joy
armonía,positive
armonía,trust
armoniosamente,joy
armoniosamente,positive
armoniosamente,trust
aroma,positive
arqueología,anticipation
arqueología,positive
arquitectura,trust
arrastrarse,negative
arrebatada,joy
arrebatada,positive
arrebatada,surprise
arrebatada,trust
arrebatado,joy
arrebatado,positive
arrebatado,surprise
arrebatado,trust
arrepentirse,fear
arrepentirse,positive
arrestar,negative
arriesgada,anticipation
arriesgada,fear
arriesgada,negative
arriesgado,anticipation
arriesgado,fear
arriesgado,negative
arrogancia,negative
arrogante,anger
arrogante,disgust
arrogante,negative
arrogante,anger
arrogante,negative
arrojar,disgust
arrugada,sadness
arrugado,sadness
arruinada,fear
arruinada,negative
arruinada,sadness
arruinada,disgust
arruinada,negative
arruinada,sadness
arruinada,anger
arruinada,disgust
arruinada,fear
arruinada,negative
arruinada,sadness
arruinado,fear
arruinado,negative
arruinado,sadness
arruinado,disgust
arruinado,negative
arruinado,sadness
arruinado,anger
arruinado,disgust
arruinado,fear
arruinado,negative
arruinado,sadness
arsenal,trust
arsénico,disgust
arsénico,fear
arsénico,negative
arsénico,sadness
arte,anticipation
arte,joy
arte,positive
arte,sadness
arte,surprise
arte,positive
artesano,positive
artesano,positive
articulación,positive
articular,positive
artillería,fear
artillería,negative
artillería,fear
artillería,negative
artista,positive
artístico,positive
as,positive
asaltar,anger
asaltar,fear
asaltar,negative
asaltar,surprise
asalto,anger
asalto,fear
asalto,negative
asalto,anger
asar,anger
asar,negative
ascendencia,positive
ascenso,positive
asco,anger
asco,disgust
asco,fear
asco,negative
asco,sadness
asegurar,trust
asegurar,positive
asegurar,trust
asentir,positive
asequible,joy
asequible,positive
asesinar,anger
asesinar,fear
asesinar,negative
asesinato,anger
asesinato,fear
asesinato,negative
asesinato,sadness
asesinato,anger
asesinato,fear
asesinato,negative
asesinato,sadness
asesinato,anger
asesinato,disgust
asesinato,fear
asesinato,negative
asesinato,sadness
asesinato,surprise
asesino,anger
asesino,fear
asesino,negative
asesino,sadness
asesino,anger
asesino,fear
asesino,negative
asesino,anger
asesino,disgust
asesino,fear
asesino,negative
asesino,sadness
asesino,anger
asesino,disgust
asesino,fear
asesino,negative
asesino,sadness
asesino,surprise
asesino,anger
asesino,disgust
asesino,fear
asesino,negative
asesino,sadness
asesino,surprise
asesor,trust
asesorar,positive
asesorar,trust
asfixia,anger
asfixia,fear
asfixia,negative
asilo,fear
asilo,negative
asimetría,disgust
asistencia,positive
asistencia,anticipation
asistente,positive
asistente,trust
asociación,trust
asociación,positive
asociación,trust
asociada,positive
asociado,positive
asociar,positive
asociar,trust
asombro,surprise
asombro,joy
asombro,positive
asombro,surprise
asombrosamente,positive
asombrosamente,surprise
asombrosamente,anticipation
asombrosamente,surprise
asombroso,negative
aspereza,negative
áspid,fear
aspiración,anticipation
aspiración,joy
aspiración,positive
aspiración,surprise
aspiración,trust
aspirar,anticipation
aspirar,joy
aspirar,positive
asqueroso,anger
asqueroso,disgust
asqueroso,fear
asqueroso,negative
asqueroso,anger
asqueroso,disgust
asqueroso,fear
asqueroso,negative
asqueroso,sadness
astilla,negative
astringente,negative
astrólogo,anticipation
astrólogo,positive
astronauta,positive
astrónomo,anticipation
astrónomo,positive
astucia,positive
astucia,negative
astucia,positive
astucia,anger
astucia,disgust
astucia,fear
astucia,negative
astucia,sadness
astucia,surprise
astuto,positive
astuto,anger
astuto,disgust
astuto,fear
astuto,negative
asustada,fear
asustada,negative
asustada,surprise
asustado,fear
asustado,negative
asustado,surprise
asustar,fear
asustar,negative
asustar,sadness
asustar,surprise
asustar,fear
asustar,negative
asustar,surprise
ataque,anger
ataque,fear
ataque,negative
atar,negative
ataúd,fear
ataúd,negative
ataúd,sadness
ataúd,fear
ataúd,negative
ataúd,sadness
ateísmo,negative
atención,positive
atención,positive
atención plena,positive
atento,positive
atento,trust
atenuación,negative
atenuación,sadness
atenuada,negative
atenuado,negative
aterciopelada,positive
aterciopelado,positive
aterosclerosis,fear
aterosclerosis,negative
aterosclerosis,sadness
aterrizada,positive
aterrizado,positive
aterronada,disgust
aterronada,negative
aterronado,disgust
aterronado,negative
aterrorizar,anger
aterrorizar,fear
aterrorizar,negative
aterrorizar,sadness
atestación,trust
atestiguar,positive
atestiguar,trust
atleta,positive
atlético,positive
átomo,positive
atornillada,anger
atornillada,negative
atornillado,anger
atornillado,negative
atracada,negative
atracado,negative
atracar,positive
atracción,positive
atractivo,positive
atractivo,joy
atractivo,positive
atractivo,trust
atractivo,anticipation
atractivo,joy
atractivo,positive
atractivo,surprise
atractivo,trust
atrasada,anticipation
atrasada,negative
atrasada,sadness
atrasada,surprise
atrasado,anticipation
atrasado,negative
atrasado,sadness
atrasado,surprise
atrasos,negative
atrevida,positive
atrevido,positive
atrevimiento,anticipation
atrevimiento,trust
atrocidad,anger
atrocidad,disgust
atrocidad,fear
atrocidad,negative
atrocidad,sadness
atrofia,disgust
atrofia,fear
atrofia,negative
atrofia,sadness
atropello,anger
atropello,disgust
atropello,negative
atroz,anger
atroz,disgust
atroz,negative
atroz,negative
aturdida,negative
aturdida,negative
aturdida,fear
aturdida,negative
aturdida,surprise
aturdido,negative
aturdido,negative
aturdido,fear
aturdido,negative
aturdido,surprise
audacia,negative
audacia,positive
audaz,fear
audaz,positive
audición,fear
audición,negative
audiencia,anticipation
auditor,fear
auditor,trust
aullida,anger
aullida,disgust
aullida,fear
aullida,negative
aullida,sadness
aullida,surprise
aullido,anger
aullido,disgust
aullido,fear
aullido,negative
aullido,sadness
aullido,surprise
aumentar,positive
aumentar,fear
aumentar,negative
aura,positive
ausencia,fear
ausencia,negative
ausencia,sadness
ausencia,negative
ausente,negative
ausente,sadness
ausente,negative
ausente,sadness
austeridad,negative
austero,fear
austero,negative
austero,sadness
austero,negative
autenticación,trust
autenticar,trust
autenticidad,positive
autenticidad,trust
auténtico,joy
auténtico,positive
auténtico,trust
auténtico,positive
auténtico,trust
autobuses,joy
autobuses,positive
autocrático,negative
automático,trust
autopsia,disgust
autopsia,fear
autopsia,negative
autopsia,sadness
autor,positive
autor,trust
autor,anger
autor,disgust
autor,fear
autor,negative
autor,sadness
autoridad,positive
autoridad,trust
autoritario,positive
autoritario,trust
autorización,positive
autorización,trust
autorizada,positive
autorizada,trust
autorizada,positive
autorizado,positive
autorizado,trust
autorizado,positive
autorizar,trust
autorizar,positive
avalancha,fear
avalancha,negative
avalancha,sadness
avalancha,surprise
avanzada,fear
avanzada,positive
avanzado,positive
avanzar,anticipation
avanzar,fear
avanzar,joy
avanzar,positive
avanzar,surprise
avaricia,anger
avaricia,disgust
avaricia,negative
avaro,anticipation
avaro,negative
avatar,positive
aventura amorosa,anticipation
aventura amorosa,joy
aventura amorosa,positive
aventura amorosa,trust
aventuras,anticipation
aventuras,positive
aventurero,positive
avergonzada,disgust
avergonzada,negative
avergonzada,sadness
avergonzado,disgust
avergonzado,negative
avergonzado,sadness
avergonzar,negative
avergonzar,sadness
aversión,anger
aversión,disgust
aversión,fear
aversión,negative
aversión,disgust
aversión,negative
axioma,trust
axiomático,trust
ayuda,positive
ayudando,positive
ayudante,positive
ayudante,trust
ayudar,positive
ayudar,trust
azogue,negative
azogue,surprise
azotaina,anger
azotar,anger
azotar,disgust
azotar,fear
azotar,negative
azotar,sadness
azotar,anger
azotar,fear
azotar,negative
azotar,sadness
azotar,anger
azotar,fear
azotar,negative
azotar,sadness
azúcar,positive
azucarada,positive
azucarado,positive
azufre,anger
azufre,fear
azufre,negative
