NOMBRE;APELLIDOS;LEGISLATURA;FECHAINICIOLEGISLATURA;FECHAFINLEGISLATURA;LEGISLATURAACTUAL
Juan Manuel;Albendea Pabón;Leg. X;13/12/2011;13/01/2016;N
Cristina;Alberdi Alonso;Leg. VI;27/03/1996;05/04/2000;N
Cristina;Alberdi Alonso;Leg. VII;05/04/2000;02/04/2004;N
Isabel;Alberdi Alonso;Leg. IV;21/11/1989;29/06/1993;N
Isabel;Alberdi Alonso;Leg. V;29/06/1993;27/03/1996;N
Vicente;Albero Silla;Leg. IV;21/11/1989;29/06/1993;N
Vicente;Albero Silla;Leg. V;29/06/1993;27/03/1996;N
Rafael;Alberti y Merello;Leg. Const.;14/07/1977;23/03/1979;N
Celia;Alberto Pérez;Leg. X;13/12/2011;13/01/2016;N
Celia;Alberto Pérez;Leg. XII;19/07/2016;21/05/2019;N
Miguel Ramón;Albiach Chisbert;Leg. VII;05/04/2000;02/04/2004;N
Juan;Albiñana Calatayud;Leg. IV;21/11/1989;29/06/1993;N
José Luis;Albiñana Olmos;Leg. Const.;14/07/1977;23/03/1979;N
José Luis;Albiñana Olmos;Leg. I;23/03/1979;18/11/1982;N
Xabier;Albistur Marín;Leg. V;29/06/1993;27/03/1996;N
Carmen;Alborch Bataller;Leg. VI;27/03/1996;05/04/2000;N
Carmen;Alborch Bataller;Leg. VII;05/04/2000;02/04/2004;N
Carmen;Alborch Bataller;Leg. VIII;02/04/2004;01/04/2008;N
Angel;Alcalde Linares;Leg. IV;21/11/1989;29/06/1993;N
Gustavo-Adolfo;Alcalde Sánchez;Leg. VI;27/03/1996;05/04/2000;N
Francisco José;Alcaraz Martos;Leg. XIV;03/12/2019;17/08/2023;N
Francisco José;Alcaraz Martos;Leg. XV;17/08/2023;;S
Luis Felipe;Alcaraz Masats;Leg. I;23/03/1979;18/11/1982;N
Luis Felipe;Alcaraz Masats;Leg. V;29/06/1993;27/03/1996;N
Luis Felipe;Alcaraz Masats;Leg. VI;27/03/1996;05/04/2000;N
Luis Felipe;Alcaraz Masats;Leg. VII;05/04/2000;02/04/2004;N
Manuel Francisco;Alcaraz Ramos;Leg. VI;27/03/1996;05/04/2000;N
María Angustias;Alcázar Escribano;Leg. VIII;02/04/2004;01/04/2008;N
Fernando;Alcón Sáez;Leg. Const.;14/07/1977;23/03/1979;N
Fernando;Alcón Sáez;Leg. I;23/03/1979;18/11/1982;N
Miriam;Alconchel Gonzaga;Leg. XI;13/01/2016;19/07/2016;N
Miriam;Alconchel Gonzaga;Leg. XII;19/07/2016;21/05/2019;N
José Ignacio;Aldecoa Azarloza;Leg. III;15/07/1986;21/11/1989;N
Josefa;Aledo Martínez;Leg. VI;27/03/1996;05/04/2000;N
Luis Angel;Alegre Galilea;Leg. IV;21/11/1989;29/06/1993;N
Luis Angel;Alegre Galilea;Leg. V;29/06/1993;27/03/1996;N
Lluis;Alegre i Selga;Leg. III;15/07/1986;21/11/1989;N
María Pilar;Alegría Continente;Leg. IX;01/04/2008;13/12/2011;N
María Pilar;Alegría Continente;Leg. X;13/12/2011;13/01/2016;N
María Pilar;Alegría Continente;Leg. XV;17/08/2023;;S
Joaquima;Alemany i Roca;Leg. V;29/06/1993;27/03/1996;N
Eugenio;Alés Pérez;Leg. Const.;14/07/1977;23/03/1979;N
Javier;Alfonso Cendón;Leg. XIII;21/05/2019;03/12/2019;N
Javier;Alfonso Cendón;Leg. XIV;03/12/2019;17/08/2023;N
Javier;Alfonso Cendón;Leg. XV;17/08/2023;;S
Juan;Alfonso Pérez;Leg. II;18/11/1982;15/07/1986;N
Juan;Alfonso Pérez;Leg. III;15/07/1986;21/11/1989;N
Antonio Juan;Alfonso Quirós;Leg. I;23/03/1979;18/11/1982;N
Alma;Alfonso Silvestre;Leg. XV;17/08/2023;;S
María Pilar;Alía Aguado;Leg. XV;17/08/2023;;S
Mariano;Alierta Izuel;Leg. Const.;14/07/1977;23/03/1979;N
Mariano;Alierta Izuel;Leg. I;23/03/1979;18/11/1982;N
Jesús;Alique López;Leg. IX;01/04/2008;13/12/2011;N
Íñigo Jesús;Alli Martínez;Leg. XI;13/01/2016;19/07/2016;N
Íñigo Jesús;Alli Martínez;Leg. XII;19/07/2016;21/05/2019;N
Higinio;Almagro Castro;Leg. IX;01/04/2008;13/12/2011;N
María Cristina;Almeida Castro;Leg. IV;21/11/1989;29/06/1993;N
María Cristina;Almeida Castro;Leg. VI;27/03/1996;05/04/2000;N
Oriol;Almirón Ruiz;Leg. XV;17/08/2023;;S
Agustín;Almodóbar Barceló;Leg. XIII;21/05/2019;03/12/2019;N
Agustín;Almodóbar Barceló;Leg. XIV;03/12/2019;17/08/2023;N
Emilia;Almodóvar Sánchez;Leg. XV;17/08/2023;;S
Joaquín;Almunia Amann;Leg. I;23/03/1979;18/11/1982;N
Joaquín;Almunia Amann;Leg. II;18/11/1982;15/07/1986;N
Joaquín;Almunia Amann;Leg. III;15/07/1986;21/11/1989;N
Joaquín;Almunia Amann;Leg. IV;21/11/1989;29/06/1993;N
Joaquín;Almunia Amann;Leg. V;29/06/1993;27/03/1996;N
Joaquín;Almunia Amann;Leg. VI;27/03/1996;05/04/2000;N
Joaquín;Almunia Amann;Leg. VII;05/04/2000;02/04/2004;N
Joaquín;Almunia Amann;Leg. VIII;02/04/2004;01/04/2008;N
Alfonso;Alonso Aranegui;Leg. VII;05/04/2000;02/04/2004;N
Alfonso;Alonso Aranegui;Leg. IX;01/04/2008;13/12/2011;N
Alfonso;Alonso Aranegui;Leg. X;13/12/2011;13/01/2016;N
Alfonso;Alonso Aranegui;Leg. XI;13/01/2016;19/07/2016;N
Alfonso;Alonso Aranegui;Leg. XII;19/07/2016;21/05/2019;N
Conrado;Alonso Buitrón;Leg. II;18/11/1982;15/07/1986;N
Conrado;Alonso Buitrón;Leg. III;15/07/1986;21/11/1989;N
Conrado;Alonso Buitrón;Leg. IV;21/11/1989;29/06/1993;N
Conrado;Alonso Buitrón;Leg. V;29/06/1993;27/03/1996;N
Félix;Alonso Cantorné;Leg. XI;13/01/2016;19/07/2016;N
Félix;Alonso Cantorné;Leg. XII;19/07/2016;21/05/2019;N
Fèlix;Alonso Cantorné;Leg. XV;17/08/2023;;S
Rosa Ana;Alonso Clusa;Leg. XI;13/01/2016;19/07/2016;N
Rosa Ana;Alonso Clusa;Leg. XII;19/07/2016;21/05/2019;N
José Antonio;Alonso Conesa;Leg. IV;21/11/1989;29/06/1993;N
José Antonio;Alonso Conesa;Leg. V;29/06/1993;27/03/1996;N
José Jaime;Alonso Díaz-Guerra;Leg. XII;19/07/2016;21/05/2019;N
María Luisa;Alonso García;Leg. XIII;21/05/2019;03/12/2019;N
Mercedes;Alonso García;Leg. IX;01/04/2008;13/12/2011;N
Raquel;Alonso Hernández;Leg. XII;19/07/2016;21/05/2019;N
Manuel;Alonso Losada;Leg. IV;21/11/1989;29/06/1993;N
Alejandro;Alonso Núñez;Leg. VIII;02/04/2004;01/04/2008;N
Alejandro;Alonso Núñez;Leg. IX;01/04/2008;13/12/2011;N
Alejandro;Alonso Núñez;Leg. X;13/12/2011;13/01/2016;N
Modesto;Alonso Pelayo;Leg. Const.;14/07/1977;23/03/1979;N
José Ángel;Alonso Pérez;Leg. XIV;03/12/2019;17/08/2023;N
José María;Alonso Ruiz;Leg. X;13/12/2011;13/01/2016;N
Emilio;Alonso Sarmiento;Leg. Const.;14/07/1977;23/03/1979;N
Emilio;Alonso Sarmiento;Leg. I;23/03/1979;18/11/1982;N
Emilio;Alonso Sarmiento;Leg. IV;21/11/1989;29/06/1993;N
José Antonio;Alonso Suárez;Leg. VIII;02/04/2004;01/04/2008;N
José Antonio;Alonso Suárez;Leg. IX;01/04/2008;13/12/2011;N
José Antonio;Alonso Suárez;Leg. X;13/12/2011;13/01/2016;N
María Olga;Alonso Suárez;Leg. XIII;21/05/2019;03/12/2019;N
María Olga;Alonso Suárez;Leg. XIV;03/12/2019;17/08/2023;N
Jaume;Alonso-Cuevillas i Sayrol;Leg. XIII;21/05/2019;03/12/2019;N
Jaume;Alonso-Cuevillas i Sayrol;Leg. XIV;03/12/2019;17/08/2023;N
Ana Isabel;Alós López;Leg. XI;13/01/2016;19/07/2016;N
Ana Isabel;Alós López;Leg. XII;19/07/2016;21/05/2019;N
Ana Isabel;Alós López;Leg. XV;17/08/2023;;S
Amador;Álvarez Álvarez;Leg. V;29/06/1993;27/03/1996;N
Amador;Álvarez Álvarez;Leg. VI;27/03/1996;05/04/2000;N
Amador;Álvarez Álvarez;Leg. VII;05/04/2000;02/04/2004;N
Amador;Álvarez Álvarez;Leg. VIII;02/04/2004;01/04/2008;N
Amador;Álvarez Álvarez;Leg. IX;01/04/2008;13/12/2011;N
Ángeles;Álvarez Álvarez;Leg. X;13/12/2011;13/01/2016;N
Ángeles;Álvarez Álvarez;Leg. XII;19/07/2016;21/05/2019;N
José Luis;Álvarez Álvarez;Leg. I;23/03/1979;18/11/1982;N
José Luis;Álvarez Álvarez;Leg. II;18/11/1982;15/07/1986;N
Magdalena;Álvarez Arza;Leg. VIII;02/04/2004;01/04/2008;N
Magdalena;Álvarez Arza;Leg. IX;01/04/2008;13/12/2011;N
Ramón María;Álvarez de Miranda García;Leg. I;23/03/1979;18/11/1982;N
Fernando;Álvarez de Miranda y Torres;Leg. Const.;14/07/1977;23/03/1979;N
Fernando;Álvarez de Miranda y Torres;Leg. I;23/03/1979;18/11/1982;N
José;Álvarez de Paz;Leg. I;23/03/1979;18/11/1982;N
José;Álvarez de Paz;Leg. II;18/11/1982;15/07/1986;N
José;Álvarez de Paz;Leg. III;15/07/1986;21/11/1989;N
Cayetana;Álvarez de Toledo Peralta Ramos;Leg. IX;01/04/2008;13/12/2011;N
Cayetana;Álvarez de Toledo Peralta Ramos;Leg. X;13/12/2011;13/01/2016;N
Cayetana;Álvarez de Toledo Peralta-Ramos;Leg. XIII;21/05/2019;03/12/2019;N
Cayetana;Álvarez de Toledo Peralta-Ramos;Leg. XIV;03/12/2019;17/08/2023;N
Cayetana;Álvarez de Toledo Peralta-Ramos;Leg. XV;17/08/2023;;S
Beatriz;Álvarez Fanjul;Leg. XIV;03/12/2019;17/08/2023;N
Beatriz;Álvarez Fanjul;Leg. XV;17/08/2023;;S
Roberto;Álvarez Fernández;Leg. V;29/06/1993;27/03/1996;N
María Enedina;Álvarez Gayol;Leg. V;29/06/1993;27/03/1996;N
María Enedina;Álvarez Gayol;Leg. VI;27/03/1996;05/04/2000;N
Julio;Álvarez Gómez;Leg. VI;27/03/1996;05/04/2000;N
Alicia;Álvarez González;Leg. XV;17/08/2023;;S
Gerard;Álvarez i García;Leg. XIV;03/12/2019;17/08/2023;N
Eloísa;Álvarez Oteo;Leg. VIII;02/04/2004;01/04/2008;N
Eloísa;Álvarez Oteo;Leg. IX;01/04/2008;13/12/2011;N
Félix;Álvarez Palleiro;Leg. XII;19/07/2016;21/05/2019;N
Enrique;Álvarez Paredes;Leg. IV;21/11/1989;29/06/1993;N
Enrique;Álvarez Paredes;Leg. V;29/06/1993;27/03/1996;N
José María;Álvarez Pereira;Leg. VI;27/03/1996;05/04/2000;N
María Elena;Álvarez Simón;Leg. XI;13/01/2016;19/07/2016;N
Enrique;Álvarez Sostres;Leg. X;13/12/2011;13/01/2016;N
Emilio;Álvarez Villazán;Leg. IX;01/04/2008;13/12/2011;N
María Carmen;Álvarez-Arenas Cisneros;Leg. IX;01/04/2008;13/12/2011;N
María Carmen;Álvarez-Arenas Cisneros;Leg. X;13/12/2011;13/01/2016;N
María Carmen;Álvarez-Arenas Cisneros;Leg. XI;13/01/2016;19/07/2016;N
María Carmen;Álvarez-Arenas Cisneros;Leg. XII;19/07/2016;21/05/2019;N
Francisco;Álvarez-Cascos Fernández;Leg. III;15/07/1986;21/11/1989;N
Francisco;Álvarez-Cascos Fernández;Leg. IV;21/11/1989;29/06/1993;N
Francisco;Álvarez-Cascos Fernández;Leg. V;29/06/1993;27/03/1996;N
Francisco;Álvarez-Cascos Fernández;Leg. VI;27/03/1996;05/04/2000;N
Francisco;Álvarez-Cascos Fernández;Leg. VII;05/04/2000;02/04/2004;N
Francesc-Marc;Álvaro Vidal;Leg. XV;17/08/2023;;S
Oscar;Alzaga Villaamil;Leg. Const.;14/07/1977;23/03/1979;N
Oscar;Alzaga Villaamil;Leg. I;23/03/1979;18/11/1982;N
Oscar;Alzaga Villaamil;Leg. II;18/11/1982;15/07/1986;N
Oscar;Alzaga Villaamil;Leg. III;15/07/1986;21/11/1989;N
Eva María;Amador Guillén;Leg. V;29/06/1993;27/03/1996;N
Eva María;Amador Guillén;Leg. VI;27/03/1996;05/04/2000;N
María Ángeles;Amador Millán;Leg. VI;27/03/1996;05/04/2000;N
María Ángeles;Amador Millán;Leg. VII;05/04/2000;02/04/2004;N
Francisco;Amarillo Doblado;Leg. VI;27/03/1996;05/04/2000;N
Francisco;Amarillo Doblado;Leg. VII;05/04/2000;02/04/2004;N
Antonio Luis;Amaro López;Leg. X;13/12/2011;13/01/2016;N
Enrique;Amat Vicedo;Leg. III;15/07/1986;21/11/1989;N
Enrique;Amat Vicedo;Leg. IV;21/11/1989;29/06/1993;N
José Antonio;Amate Rodríguez;Leg. I;23/03/1979;18/11/1982;N
José Antonio;Amate Rodríguez;Leg. II;18/11/1982;15/07/1986;N
José Antonio;Amate Rodríguez;Leg. III;15/07/1986;21/11/1989;N
José Antonio;Amate Rodríguez;Leg. IV;21/11/1989;29/06/1993;N
José Antonio;Amate Rodríguez;Leg. V;29/06/1993;27/03/1996;N
José Antonio;Amate Rodríguez;Leg. VI;27/03/1996;05/04/2000;N
Mario de;Amilivia González;Leg. III;15/07/1986;21/11/1989;N
María Mercé;Amorós i Sans;Leg. VI;27/03/1996;05/04/2000;N
Emilio;Amuedo Moral;Leg. VIII;02/04/2004;01/04/2008;N
Emilio;Amuedo Moral;Leg. IX;01/04/2008;13/12/2011;N
Iñaki Mirena;Anasagasti Olabeaga;Leg. III;15/07/1986;21/11/1989;N
Iñaki Mirena;Anasagasti Olabeaga;Leg. IV;21/11/1989;29/06/1993;N
Iñaki Mirena;Anasagasti Olabeaga;Leg. V;29/06/1993;27/03/1996;N
Iñaki Mirena;Anasagasti Olabeaga;Leg. VI;27/03/1996;05/04/2000;N
Iñaki Mirena;Anasagasti Olabeaga;Leg. VII;05/04/2000;02/04/2004;N
Álvaro;Anchuelo Crego;Leg. X;13/12/2011;13/01/2016;N
Teslem;Andala Ubbi;Leg. XV;17/08/2023;;S
Carmen;Andrés Añón;Leg. XIII;21/05/2019;03/12/2019;N
Carmen;Andrés Añón;Leg. XIV;03/12/2019;17/08/2023;N
Carmen;Andrés Añón;Leg. XV;17/08/2023;;S
Josefa;Andrés Barea;Leg. XIII;21/05/2019;03/12/2019;N
Josefa;Andrés Barea;Leg. XIV;03/12/2019;17/08/2023;N
Jerónimo;Andreu Andreu;Leg. IV;21/11/1989;29/06/1993;N
Jerónimo;Andreu Andreu;Leg. V;29/06/1993;27/03/1996;N
Josep;Andreu Domingo;Leg. VIII;02/04/2004;01/04/2008;N
Josep;Andreu i Abelló;Leg. Const.;14/07/1977;23/03/1979;N
Julio;Anguita González;Leg. IV;21/11/1989;29/06/1993;N
Julio;Anguita González;Leg. V;29/06/1993;27/03/1996;N
Julio;Anguita González;Leg. VI;27/03/1996;05/04/2000;N
Omar;Anguita Pérez;Leg. XIV;03/12/2019;17/08/2023;N
María Teresa;Angulo Romero;Leg. X;13/12/2011;13/01/2016;N
María Teresa;Angulo Romero;Leg. XI;13/01/2016;19/07/2016;N
María Teresa;Angulo Romero;Leg. XII;19/07/2016;21/05/2019;N
María Teresa;Angulo Romero;Leg. XIV;03/12/2019;17/08/2023;N
Ricardo;Ansotegui Aranguren;Leg. IV;21/11/1989;29/06/1993;N
Jaume;Antich i Balada;Leg. II;18/11/1982;15/07/1986;N
Jaume;Antich i Balada;Leg. III;15/07/1986;21/11/1989;N
Jaume;Antich i Balada;Leg. IV;21/11/1989;29/06/1993;N
Jaume;Antich i Balada;Leg. V;29/06/1993;27/03/1996;N
Francesc;Antich Oliver;Leg. VIII;02/04/2004;01/04/2008;N
Iñaki;Antigüedad Auzmendi;Leg. X;13/12/2011;13/01/2016;N
Javier;Antón Cacho;Leg. XI;13/01/2016;19/07/2016;N
Javier;Antón Cacho;Leg. XII;19/07/2016;21/05/2019;N
Javier;Antón Cacho;Leg. XIII;21/05/2019;03/12/2019;N
Javier;Antón Cacho;Leg. XIV;03/12/2019;17/08/2023;N
Asier;Antona Gómez;Leg. XV;17/08/2023;;S
Juan Carlos;Aparicio Pérez;Leg. III;15/07/1986;21/11/1989;N
Juan Carlos;Aparicio Pérez;Leg. IV;21/11/1989;29/06/1993;N
Juan Carlos;Aparicio Pérez;Leg. V;29/06/1993;27/03/1996;N
Juan Carlos;Aparicio Pérez;Leg. VI;27/03/1996;05/04/2000;N
Juan Carlos;Aparicio Pérez;Leg. VII;05/04/2000;02/04/2004;N
Juan Carlos;Aparicio Pérez;Leg. IX;01/04/2008;13/12/2011;N
Juan Carlos;Aparicio Pérez;Leg. X;13/12/2011;13/01/2016;N
Luis;Apostúa Palos;Leg. Const.;14/07/1977;23/03/1979;N
Luis;Apostúa Palos;Leg. I;23/03/1979;18/11/1982;N
Antonio María;Aragonés Lloret;Leg. VI;27/03/1996;05/04/2000;N
Carlos;Aragonés Mendiguchía;Leg. V;29/06/1993;27/03/1996;N
Carlos;Aragonés Mendiguchía;Leg. VI;27/03/1996;05/04/2000;N
Carlos;Aragonés Mendiguchía;Leg. VII;05/04/2000;02/04/2004;N
Carlos;Aragonés Mendiguchía;Leg. VIII;02/04/2004;01/04/2008;N
Carlos;Aragonés Mendiguchía;Leg. IX;01/04/2008;13/12/2011;N
Carlos;Aragonés Mendiguchía;Leg. X;13/12/2011;13/01/2016;N
Carlos;Aragonés Mendiguchía;Leg. XIV;03/12/2019;17/08/2023;N
Carlos;Aragonés Mendiguchía;Leg. XV;17/08/2023;;S
María Soledad;Arahuetes Portero;Leg. I;23/03/1979;18/11/1982;N
María Jesús;Aramburu del Río;Leg. VI;27/03/1996;05/04/2000;N
Joaquín;Arana Pelegrí;Leg. Const.;14/07/1977;23/03/1979;N
Elviro;Aranda Álvarez;Leg. VIII;02/04/2004;01/04/2008;N
Elviro;Aranda Álvarez;Leg. IX;01/04/2008;13/12/2011;N
Francisco;Aranda Vargas;Leg. XIII;21/05/2019;03/12/2019;N
Francisco;Aranda Vargas;Leg. XIV;03/12/2019;17/08/2023;N
Francisco;Aranda Vargas;Leg. XV;17/08/2023;;S
Pablo;Arangüena Fernández;Leg. XIII;21/05/2019;03/12/2019;N
